Date,Value,iValue,rolling_14d,AdjustedValue,iAdjusted,rolling_14d_adjusted,USD_TL
2022-09-24,,44.87,44.34488095238095,,2.4408111014203158,2.412245993308084,18.383233333333333
2022-09-25,,44.91,44.42607142857143,,2.4416543735207443,2.415344279713125,18.39326666666667
2022-09-26,,44.95,44.51107142857143,,2.4424967261306394,2.4186461900078475,18.4033
2022-09-27,,44.99,44.57892857142857,,2.4371878351878133,2.4149193691929796,18.4598
2022-09-28,45.03,45.03,44.629642857142855,2.4361346447236016,2.4361346447236016,2.414475219762979,18.4842
2022-09-29,,45.04,44.681357142857145,,2.432031102351575,2.41266541444732,18.5195
2022-09-30,45.05,45.05,44.734071428571426,2.4302614756353473,2.4302614756353473,2.4132184337664158,18.5371
2022-10-01,,44.9175,44.77760714285714,,2.42246023913149,2.414915632148308,18.5421
2022-10-02,,44.785,44.81196428571428,,2.4146632088035322,2.4161170363945996,18.5471
2022-10-03,,44.6525,44.83714285714286,,2.4068703812506405,2.4168230473716106,18.5521
2022-10-04,44.52,44.52,44.84339285714286,2.3970150378773605,2.3970150378773605,2.41442693234532,18.5731
2022-10-05,,44.72,44.854464285714286,,2.4071352829406667,2.414373067521129,18.5781
2022-10-06,44.92,44.92,44.87035714285714,2.4165478656158377,2.4165478656158377,2.413877243610681,18.5885
2022-10-07,,44.878,44.87378571428572,,2.413794958127827,2.4135682897912423,18.5923
2022-10-08,,44.836,44.87135714285715,,2.4115186644029016,2.4134203596906167,18.592433333333336
2022-10-09,,44.794000000000004,44.86307142857142,,2.4092424033260613,2.412957405660583,18.592566666666663
2022-10-10,,44.752,44.84892857142857,,2.406966174896599,2.412179434478509,18.5927
2022-10-11,44.71,44.71,44.82892857142857,2.40486243713525,2.40486243713525,2.411259369681229,18.5915
2022-10-12,45.02,45.02,44.82821428571429,2.4210939558696203,2.4210939558696203,2.4107800679602627,18.5949
2022-10-13,,44.96,44.8225,,2.4172172968671872,2.409824784004215,18.5999
2022-10-14,,44.9,44.81178571428571,,2.414095305686834,2.4093523726570485,18.5991
2022-10-15,,44.84,44.80625,,2.41113293852794,2.4093181361935216,18.597066666666667
2022-10-16,,44.78,44.80589285714286,,2.4081699235100413,2.409562384425744,18.595033333333333
2022-10-17,,44.72,44.81071428571429,,2.4052062604205884,2.4100852087191034,18.593
2022-10-18,44.66,44.66,44.82071428571429,2.4011139964623087,2.4011139964623087,2.4097546888237065,18.5997
2022-10-19,,44.69,44.81857142857143,,2.402714007677502,2.4096265244019524,18.5998
2022-10-20,,44.72,44.80428571428571,,2.4043527817802532,2.408884369249108,18.5996
2022-10-21,,44.75,44.79514285714286,,2.405642373710495,2.4080691350515724,18.6021
2022-10-22,,44.78,44.79114285714286,,2.407017870772848,2.4076168224538286,18.60393333333333
2022-10-23,,44.81,44.79228571428571,,2.4083930967639064,2.4074410109922395,18.605766666666668
2022-10-24,44.84,44.84,44.798571428571435,2.4097680517637956,2.4097680517637956,2.4075416189391126,18.6076
